# Multipole Expansion Model for Optical Coupling Strength
# 
# Parameters:
# a = 300 nm (Major axis)
# b = 180 nm (Minor axis)
# lambda = 1064 nm (Wavelength)
# V = 0.04 ×10⁻¹⁸ m³ (Volume)
# rho = 3500 kg/m³ (Density)
# I = 3.49e-30 kg·m² (Moment of inertia)
# L1 = 0.210 (Depolarization factor, major axis)
# L2 = 0.395 (Depolarization factor, minor axis)
# epsilon_r = 5.7 (Relative permittivity)
# C1 = 0.033 (Multipole expansion coefficient, 1st order)
# C2 = 0.012 (Multipole expansion coefficient, 2nd order)
#
# Columns:
# R_lambda: Distance between particles in units of wavelength (dimensionless)
# g_*mW_kHz: Coupling strength at different laser powers (in kHz)
#
# Note: Data generated for Fig. 1 in manuscript
R_lambda,g_600mW_kHz,g_800mW_kHz,g_1000mW_kHz
1.047999999999995,90.1017918269272,104.04058753148804,116.32091306971222
1.0499999999999947,89.38657737425461,103.21472901793041,115.39757518165628
1.0519999999999947,88.66054060088896,102.37637396484197,114.46026573766316
1.0539999999999947,87.92382242826817,101.52568509428293,113.50916666652695
1.055999999999995,87.17656481443291,100.66282632527941,112.54446123529007
1.0579999999999947,86.4189107325625,99.78796274903839,111.56633402153335
1.0599999999999945,85.65100414941936,98.90126060405802,110.5749708855479
1.0619999999999947,84.87299000370453,98.00288725113444,109.57055894239208
1.0639999999999947,84.08501418432735,97.0930111482698,108.55328653383812
1.0659999999999947,83.28722350859267,96.17180182548503,107.52334320021144
1.0679999999999945,82.4797657003072,95.23942985953924,106.48091965212653
1.0699999999999945,81.66278936781052,94.29606684856222,105.42620774212477
1.0719999999999947,80.83644398193162,93.34188538660064,104.35940043621666
1.0739999999999945,80.00087985387546,92.37705903808379,103.28069178533337
